source,subject,trial,list_length,mean_adjacent_distance,sd_adjacent_distance,p90_adjacent_distance,switch_rate_distance,mean_adjacent_similarity,log_frequency_likelihood,frequency_likelihood,n_relevant_bigrams,n_relevant_bigrams_rate,n_relevant_bigrams_norm
human,oaf_10111,3.10111,28.0,0.9802037548078995,0.10401183245207224,1.0860283743471304,0.21052631578947367,0.506336056247694,-1.6893690344196683,0.18463598619948607,8.0,0.2962962962962963,6.090624345428832
human,oaf_10115,1.10115,25.0,1.0117700100643017,0.09781061354527255,1.1123316071639078,0.2222222222222222,0.49819583741359863,-1.7245128780686452,0.1782598649165699,2.0,0.08333333333333333,0.8745394003934612
human,oaf_10115,3.10115,34.0,1.0414665947334236,0.1359999470087596,1.2146188893344698,0.21052631578947367,0.4919323386622031,-1.7221264188071999,0.1786857828378878,8.0,0.24242424242424243,4.522794235499574
human,oaf_10115,4.10115,32.0,0.9784087285562635,0.12480397575730048,1.1387108324182498,0.22727272727272727,0.5073629294997523,-1.694226805165501,0.183741241897954,6.0,0.1935483870967742,3.04540427214266
human,oaf_10116,1.10116,24.0,0.9853072066878555,0.10903272032869878,1.109529443580343,0.23529411764705882,0.505143355406217,-1.5393733616498082,0.21451548294659797,5.0,0.21739130434782608,4.1358444187150045
human,oaf_10116,3.10116,20.0,0.9710741497501341,0.09302740726035438,1.072670284250472,0.21052631578947367,0.5084120339434886,-1.3089898906247206,0.270092741851167,2.0,0.10526315789473684,2.1810644920011764
human,oaf_10120,1.1012,13.0,1.0050885592344396,0.13785099967985837,1.129069146246782,0.25,0.5007942446259506,-1.5065959298511504,0.22166325239304688,1.0,0.08333333333333333,3.0101996202519774
human,oaf_10121,1.10121,24.0,1.0034397875585106,0.12071328245471619,1.1405388275552548,0.19047619047619047,0.5008645986222435,-1.0971462491783743,0.3338223715503245,4.0,0.17391304347826086,3.135844418715004
human,oaf_10121,3.10121,30.0,1.0303133612082778,0.11432358722412099,1.1558652961877445,0.2222222222222222,0.49402408505286377,-1.5976743285746031,0.2023666093846154,9.0,0.3103448275862069,6.568014308785746
human,oaf_10131,1.10131,17.0,0.99888465739514,0.10179811918076327,1.125144275073887,0.23076923076923078,0.5014892648160882,-1.8569387111477094,0.15614991944306963,4.0,0.25,4.964979546965806
human,oaf_10131,3.10131,10.0,1.059564819840973,0.11413286269583116,1.1466852212956133,0.2857142857142857,0.48692009663807345,-2.167525884665282,0.11446045524677233,1.0,0.1111111111111111,3.794114675216606
human,oaf_10136,1.10136,14.0,1.0215307432100418,0.09954752093049499,1.125347996662766,0.2,0.49577531769511535,-1.6446149635502458,0.1930868939748865,1.0,0.07692307692307693,2.7488946019304343
human,oaf_10142,1.10142,15.0,1.0237940620713906,0.1455485668897455,1.1907774806655833,0.25,0.49651452821969655,-1.7278219791539233,0.1776709599145866,2.0,0.14285714285714285,3.4875895836088913
human,oaf_10145,1.10145,18.0,1.0387558644374228,0.12270522985456449,1.2250295019460178,0.18181818181818182,0.4921113125941941,-1.9368950911177167,0.14415083085128275,2.0,0.11764705882352941,2.703674528644262
